方块名称,点数,点数类,解锁建筑,简介,瓦片集,瓦片列,瓦片排,列,排,功能,功能参数
星空图书馆,1,任务,,储存你创造的故事的图书馆,2,0,9,8,7,图书馆,
任务方块,1,任务,,解锁任务功能,2,0,0,2,3,解锁窗口,任务窗口
订单方块,1,任务,,解锁订单窗口,2,8,0,2,3,解锁窗口,订单界面
背包方块,1,任务,,解锁专门管理背包的窗口,2,2,0,2,3,解锁窗口,背包界面
小游戏方块,1,任务,,解锁可以体验小游戏窗口,2,6,0,2,3,解锁窗口,小游戏界面
原罪方块,1,任务,,解锁解锁挂机系统的突破和原罪玩法,2,4,0,2,3,解锁窗口,原罪界面
合成方块,1,任务,,解锁手工系统的合成玩法,2,0,3,2,3,解锁窗口,合成界面
烹饪方块,1,任务,,解锁手工系统的烹饪玩法,2,2,3,2,3,解锁窗口,烹饪界面
炼金方块,1,任务,,解锁手工系统的炼金玩法,2,4,3,2,3,解锁窗口,炼金界面
抽奖机方块,1,任务,,解锁手工系统的抽奖机玩法,2,6,3,2,3,解锁窗口,合成_抽奖机界面
点数工作台,5,任务,星空图书馆,"将基础材料加工为点数,制作建筑",2,8,11,2,2,点数加工,
提示牌,1000,纤维,点数工作台,你可以自定义告示牌内容,4,6,5,1,1,显示提示,
点数仓库,1000,铁锭,点数工作台,在这里可以查看点数,4,6,8,1,1,点数仓库,
销售商店,10000,纤维,,可以自动出售物品,2,10,11,2,2,出售订单,
木材篮子,5000,纤维,,升级资源容量,2,8,9,1,2,资源容量,木材
矿石篮子,5000,铁锭,,升级资源容量,2,9,9,1,2,资源容量,矿石
皮革篮子,5000,鞣革,,升级资源容量,2,10,9,1,2,资源容量,皮革
药草篮子,5000,麻布,,升级资源容量,2,11,9,1,2,资源容量,药草
零件篮子,10000,麻布,,升级资源容量,2,12,9,1,2,资源容量,零件
